Wavelength (nm),Group1_White_Paper,Group1_Epidote1,Group1_Epidote2,Group1_Epidote3,Group2_Gypsum1,Group2_Gypsum2,Group2_Gypsum3,Group3_Limonite1,Group3_Limonite2,Group3_LImonite3,Group4_Realgar1,Group4_Realgar2,Group4_Realgar3,Group5_Hornblende1,Group5_Hornblende2,Group5_Hornblende3,Group6_Pyrite1,Group6_Pyrite2,Group6_Pyrite3
350,0.408,0.134,0.053,0.13,0.129,0.169,0.148,0.07,0.09,0.048,0.073,0.07,0.071,0.039,0.063,0.028,0.065,0.091,0.056
351,0.403,0.123,0.048,0.119,0.131,0.151,0.14,0.05,0.077,0.042,0.071,0.074,0.061,0.029,0.057,0.033,0.056,0.089,0.052
352,0.393,0.127,0.042,0.106,0.137,0.147,0.131,0.045,0.073,0.043,0.072,0.076,0.06,0.039,0.05,0.034,0.054,0.084,0.052
353,0.377,0.133,0.043,0.105,0.142,0.16,0.129,0.057,0.078,0.05,0.074,0.077,0.066,0.057,0.048,0.032,0.061,0.078,0.058
354,0.37,0.116,0.058,0.122,0.147,0.157,0.137,0.057,0.084,0.059,0.081,0.085,0.075,0.046,0.056,0.046,0.058,0.081,0.063
355,0.358,0.11,0.06,0.125,0.15,0.157,0.14,0.054,0.086,0.054,0.083,0.079,0.072,0.041,0.052,0.04,0.053,0.079,0.062
356,0.348,0.11,0.054,0.118,0.148,0.158,0.145,0.053,0.08,0.045,0.079,0.074,0.065,0.04,0.048,0.032,0.052,0.075,0.06
357,0.343,0.108,0.048,0.111,0.143,0.155,0.152,0.054,0.072,0.043,0.074,0.078,0.062,0.04,0.052,0.031,0.054,0.071,0.059
358,0.33,0.105,0.051,0.116,0.146,0.159,0.145,0.057,0.074,0.045,0.081,0.076,0.064,0.043,0.048,0.036,0.051,0.073,0.061
359,0.319,0.105,0.045,0.118,0.147,0.155,0.139,0.053,0.074,0.043,0.082,0.074,0.065,0.045,0.045,0.033,0.051,0.074,0.063
360,0.311,0.107,0.037,0.113,0.144,0.15,0.137,0.049,0.073,0.04,0.079,0.074,0.065,0.046,0.046,0.03,0.051,0.073,0.062
361,0.304,0.106,0.04,0.106,0.142,0.153,0.138,0.049,0.074,0.04,0.075,0.076,0.065,0.045,0.051,0.034,0.047,0.073,0.058
362,0.297,0.1,0.044,0.109,0.144,0.154,0.141,0.052,0.075,0.042,0.072,0.076,0.065,0.046,0.048,0.033,0.05,0.071,0.059
363,0.292,0.1,0.043,0.11,0.147,0.155,0.14,0.053,0.077,0.043,0.075,0.077,0.067,0.047,0.047,0.032,0.052,0.072,0.061
364,0.289,0.103,0.039,0.107,0.15,0.156,0.137,0.05,0.076,0.041,0.081,0.078,0.07,0.047,0.049,0.033,0.051,0.074,0.061
365,0.285,0.095,0.038,0.105,0.148,0.158,0.14,0.048,0.071,0.039,0.082,0.074,0.068,0.045,0.047,0.033,0.049,0.07,0.062
366,0.281,0.099,0.037,0.107,0.146,0.154,0.138,0.049,0.072,0.038,0.079,0.073,0.069,0.044,0.049,0.031,0.047,0.07,0.061
367,0.276,0.102,0.037,0.107,0.146,0.151,0.137,0.049,0.075,0.039,0.077,0.074,0.07,0.045,0.049,0.03,0.048,0.072,0.06
368,0.272,0.098,0.039,0.104,0.148,0.155,0.141,0.049,0.074,0.042,0.077,0.075,0.066,0.046,0.045,0.031,0.051,0.073,0.06
369,0.271,0.098,0.038,0.105,0.146,0.156,0.138,0.047,0.073,0.043,0.077,0.074,0.065,0.042,0.046,0.031,0.049,0.071,0.061
370,0.269,0.098,0.037,0.104,0.147,0.157,0.139,0.049,0.074,0.041,0.078,0.072,0.065,0.043,0.047,0.03,0.048,0.069,0.06
371,0.265,0.096,0.036,0.102,0.149,0.157,0.14,0.05,0.076,0.039,0.078,0.072,0.065,0.046,0.047,0.029,0.048,0.07,0.059
372,0.264,0.094,0.039,0.102,0.148,0.157,0.141,0.048,0.074,0.04,0.077,0.074,0.065,0.046,0.045,0.028,0.048,0.069,0.06
373,0.263,0.098,0.039,0.105,0.148,0.16,0.143,0.048,0.073,0.04,0.078,0.075,0.066,0.049,0.047,0.029,0.049,0.071,0.06
374,0.261,0.099,0.038,0.106,0.15,0.16,0.143,0.047,0.073,0.039,0.079,0.075,0.067,0.049,0.048,0.03,0.048,0.071,0.059
375,0.26,0.096,0.037,0.104,0.15,0.158,0.142,0.046,0.073,0.039,0.079,0.074,0.066,0.046,0.047,0.031,0.047,0.069,0.058
376,0.261,0.097,0.038,0.104,0.15,0.157,0.142,0.047,0.074,0.039,0.077,0.074,0.064,0.047,0.047,0.031,0.047,0.069,0.06
377,0.259,0.097,0.037,0.103,0.149,0.159,0.142,0.047,0.075,0.038,0.076,0.073,0.064,0.046,0.047,0.031,0.047,0.07,0.061
378,0.259,0.096,0.036,0.103,0.149,0.16,0.142,0.047,0.075,0.038,0.077,0.073,0.064,0.045,0.047,0.03,0.048,0.07,0.061
379,0.262,0.095,0.036,0.105,0.149,0.158,0.143,0.048,0.074,0.04,0.078,0.073,0.063,0.044,0.047,0.029,0.048,0.07,0.06
380,0.263,0.096,0.035,0.103,0.15,0.159,0.144,0.049,0.073,0.038,0.078,0.073,0.063,0.046,0.046,0.028,0.047,0.069,0.059
381,0.265,0.097,0.036,0.105,0.153,0.163,0.146,0.049,0.074,0.039,0.078,0.073,0.065,0.047,0.047,0.029,0.047,0.071,0.06
382,0.268,0.096,0.037,0.107,0.154,0.165,0.147,0.049,0.076,0.041,0.079,0.075,0.066,0.048,0.049,0.031,0.049,0.073,0.062
383,0.271,0.096,0.035,0.106,0.154,0.161,0.146,0.048,0.075,0.039,0.078,0.074,0.066,0.049,0.047,0.03,0.05,0.071,0.061
384,0.273,0.095,0.036,0.105,0.153,0.163,0.146,0.047,0.074,0.04,0.078,0.074,0.065,0.049,0.046,0.03,0.049,0.071,0.061
385,0.275,0.096,0.037,0.106,0.154,0.165,0.147,0.048,0.074,0.04,0.078,0.074,0.064,0.048,0.047,0.03,0.048,0.071,0.062
386,0.278,0.098,0.038,0.107,0.155,0.166,0.148,0.048,0.074,0.039,0.078,0.073,0.065,0.048,0.048,0.031,0.048,0.072,0.062
387,0.281,0.099,0.038,0.107,0.154,0.164,0.148,0.047,0.074,0.038,0.077,0.073,0.065,0.049,0.047,0.032,0.047,0.071,0.06
388,0.284,0.099,0.037,0.107,0.155,0.165,0.149,0.047,0.073,0.038,0.077,0.073,0.064,0.049,0.047,0.031,0.048,0.07,0.061
389,0.289,0.098,0.036,0.108,0.155,0.166,0.149,0.046,0.073,0.039,0.077,0.073,0.064,0.048,0.047,0.03,0.05,0.071,0.062
390,0.293,0.098,0.036,0.109,0.156,0.166,0.149,0.047,0.075,0.038,0.078,0.073,0.064,0.049,0.047,0.03,0.049,0.072,0.063
391,0.296,0.099,0.036,0.107,0.156,0.166,0.149,0.047,0.074,0.039,0.076,0.073,0.064,0.049,0.047,0.03,0.048,0.071,0.062
392,0.3,0.099,0.036,0.107,0.156,0.167,0.149,0.047,0.074,0.038,0.077,0.073,0.064,0.049,0.048,0.031,0.049,0.071,0.062
393,0.306,0.099,0.036,0.109,0.157,0.168,0.15,0.047,0.074,0.038,0.078,0.073,0.065,0.049,0.048,0.031,0.05,0.072,0.063
394,0.309,0.099,0.037,0.11,0.157,0.168,0.151,0.047,0.074,0.039,0.078,0.073,0.065,0.049,0.048,0.031,0.05,0.072,0.064
395,0.314,0.099,0.037,0.109,0.157,0.168,0.151,0.047,0.074,0.038,0.077,0.072,0.065,0.05,0.048,0.031,0.05,0.072,0.063
396,0.32,0.1,0.036,0.109,0.158,0.168,0.151,0.048,0.074,0.038,0.078,0.072,0.064,0.049,0.048,0.031,0.05,0.072,0.062
397,0.325,0.1,0.036,0.111,0.159,0.169,0.151,0.047,0.074,0.038,0.078,0.073,0.064,0.049,0.048,0.031,0.051,0.072,0.063
398,0.332,0.1,0.035,0.111,0.159,0.169,0.152,0.047,0.074,0.037,0.078,0.072,0.064,0.05,0.048,0.03,0.05,0.073,0.063
399,0.339,0.101,0.036,0.111,0.159,0.17,0.153,0.047,0.073,0.038,0.077,0.073,0.064,0.05,0.048,0.031,0.05,0.073,0.064
400,0.347,0.102,0.037,0.112,0.16,0.171,0.153,0.048,0.073,0.038,0.077,0.074,0.064,0.05,0.049,0.031,0.05,0.073,0.064
401,0.358,0.101,0.036,0.112,0.161,0.171,0.154,0.047,0.074,0.038,0.078,0.074,0.064,0.05,0.049,0.031,0.051,0.074,0.064
402,0.369,0.102,0.036,0.112,0.161,0.171,0.153,0.047,0.074,0.038,0.078,0.073,0.064,0.05,0.049,0.031,0.051,0.073,0.065
403,0.381,0.102,0.036,0.112,0.162,0.172,0.154,0.047,0.074,0.038,0.078,0.073,0.064,0.051,0.049,0.031,0.051,0.073,0.065
404,0.395,0.102,0.037,0.112,0.162,0.173,0.155,0.047,0.073,0.037,0.078,0.073,0.065,0.051,0.049,0.031,0.051,0.074,0.065
405,0.411,0.103,0.037,0.113,0.162,0.173,0.155,0.047,0.073,0.036,0.078,0.074,0.065,0.051,0.049,0.031,0.052,0.074,0.065
406,0.428,0.103,0.037,0.113,0.163,0.173,0.155,0.047,0.073,0.036,0.078,0.073,0.064,0.051,0.049,0.031,0.052,0.074,0.066
407,0.447,0.103,0.037,0.114,0.163,0.174,0.155,0.047,0.073,0.037,0.078,0.073,0.064,0.051,0.049,0.031,0.052,0.074,0.066
408,0.468,0.104,0.037,0.114,0.164,0.175,0.156,0.047,0.074,0.038,0.079,0.073,0.065,0.052,0.05,0.032,0.053,0.075,0.066
409,0.49,0.104,0.038,0.115,0.164,0.175,0.157,0.047,0.074,0.038,0.078,0.073,0.064,0.051,0.05,0.032,0.053,0.075,0.066
410,0.513,0.104,0.037,0.116,0.164,0.175,0.157,0.047,0.074,0.037,0.078,0.073,0.065,0.052,0.05,0.031,0.053,0.075,0.066
411,0.536,0.105,0.037,0.116,0.165,0.176,0.158,0.047,0.073,0.037,0.078,0.073,0.065,0.052,0.05,0.032,0.053,0.076,0.067
412,0.56,0.105,0.037,0.116,0.165,0.177,0.158,0.047,0.073,0.037,0.078,0.073,0.064,0.052,0.05,0.032,0.052,0.076,0.067
413,0.584,0.105,0.038,0.117,0.165,0.177,0.158,0.047,0.073,0.037,0.078,0.073,0.064,0.052,0.05,0.032,0.053,0.076,0.067
414,0.608,0.106,0.037,0.117,0.166,0.177,0.158,0.047,0.073,0.037,0.078,0.073,0.064,0.053,0.049,0.032,0.053,0.076,0.068
415,0.631,0.107,0.037,0.117,0.166,0.177,0.159,0.047,0.073,0.037,0.077,0.073,0.064,0.053,0.049,0.032,0.054,0.076,0.068
416,0.652,0.107,0.038,0.118,0.166,0.178,0.16,0.047,0.073,0.037,0.078,0.073,0.064,0.053,0.05,0.032,0.054,0.077,0.068
417,0.672,0.108,0.038,0.119,0.167,0.179,0.16,0.047,0.073,0.037,0.078,0.073,0.065,0.053,0.05,0.032,0.054,0.077,0.069
418,0.69,0.108,0.038,0.119,0.168,0.179,0.16,0.047,0.072,0.037,0.078,0.073,0.065,0.053,0.05,0.032,0.054,0.077,0.069
419,0.706,0.109,0.038,0.119,0.168,0.18,0.16,0.047,0.072,0.037,0.078,0.073,0.064,0.053,0.05,0.032,0.054,0.077,0.069
420,0.72,0.109,0.038,0.12,0.168,0.18,0.16,0.047,0.072,0.037,0.078,0.073,0.064,0.053,0.05,0.032,0.055,0.078,0.069
421,0.732,0.11,0.038,0.121,0.169,0.181,0.161,0.048,0.073,0.037,0.078,0.073,0.064,0.054,0.05,0.032,0.055,0.078,0.069
422,0.741,0.11,0.038,0.122,0.169,0.181,0.162,0.047,0.073,0.037,0.078,0.073,0.065,0.054,0.051,0.032,0.055,0.078,0.07
423,0.749,0.111,0.039,0.122,0.17,0.181,0.162,0.047,0.073,0.037,0.078,0.073,0.064,0.054,0.051,0.033,0.055,0.079,0.07
424,0.755,0.111,0.039,0.122,0.17,0.182,0.163,0.048,0.073,0.037,0.078,0.073,0.065,0.054,0.051,0.033,0.055,0.079,0.07
425,0.761,0.112,0.039,0.123,0.171,0.183,0.163,0.048,0.073,0.037,0.079,0.073,0.065,0.054,0.051,0.033,0.056,0.079,0.071
426,0.765,0.113,0.039,0.123,0.171,0.183,0.164,0.048,0.073,0.037,0.079,0.073,0.065,0.055,0.052,0.033,0.056,0.079,0.071
427,0.768,0.113,0.039,0.124,0.171,0.184,0.164,0.048,0.073,0.037,0.079,0.073,0.065,0.055,0.051,0.033,0.056,0.08,0.071
428,0.771,0.113,0.039,0.125,0.171,0.184,0.164,0.048,0.073,0.037,0.079,0.073,0.065,0.055,0.051,0.033,0.056,0.08,0.072
429,0.773,0.114,0.04,0.125,0.172,0.185,0.165,0.048,0.073,0.037,0.079,0.073,0.065,0.056,0.052,0.033,0.057,0.08,0.072
430,0.775,0.114,0.04,0.126,0.172,0.185,0.165,0.048,0.073,0.037,0.079,0.073,0.065,0.056,0.052,0.033,0.057,0.081,0.072
431,0.776,0.115,0.04,0.126,0.173,0.185,0.165,0.048,0.073,0.037,0.078,0.073,0.065,0.056,0.052,0.033,0.057,0.081,0.073
432,0.778,0.116,0.04,0.127,0.174,0.186,0.166,0.048,0.073,0.037,0.078,0.073,0.065,0.056,0.052,0.034,0.057,0.081,0.073
433,0.779,0.116,0.041,0.128,0.174,0.187,0.167,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.057,0.081,0.073
434,0.78,0.117,0.041,0.128,0.174,0.187,0.167,0.048,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.058,0.082,0.074
435,0.781,0.117,0.041,0.129,0.175,0.187,0.167,0.048,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.058,0.082,0.074
436,0.782,0.118,0.041,0.13,0.175,0.188,0.167,0.048,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.058,0.082,0.074
437,0.782,0.119,0.041,0.13,0.176,0.189,0.168,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.058,0.082,0.075
438,0.782,0.119,0.041,0.131,0.176,0.189,0.168,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.059,0.083,0.075
439,0.782,0.12,0.041,0.131,0.176,0.189,0.169,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.059,0.083,0.075
440,0.781,0.121,0.042,0.132,0.177,0.19,0.169,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.059,0.083,0.076
441,0.781,0.121,0.042,0.133,0.177,0.19,0.169,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.059,0.084,0.076
442,0.779,0.122,0.042,0.133,0.177,0.191,0.17,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.053,0.034,0.059,0.084,0.076
443,0.778,0.122,0.042,0.134,0.178,0.191,0.17,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.054,0.034,0.06,0.084,0.076
444,0.776,0.122,0.042,0.134,0.178,0.192,0.17,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.054,0.034,0.06,0.084,0.077
445,0.774,0.123,0.042,0.135,0.179,0.192,0.171,0.049,0.073,0.037,0.079,0.073,0.065,0.057,0.054,0.034,0.06,0.085,0.077
446,0.772,0.123,0.043,0.135,0.179,0.192,0.171,0.049,0.073,0.037,0.079,0.073,0.065,0.058,0.054,0.034,0.06,0.085,0.077
447,0.769,0.124,0.043,0.135,0.179,0.193,0.171,0.049,0.073,0.037,0.079,0.073,0.065,0.058,0.054,0.035,0.061,0.086,0.078
448,0.767,0.124,0.043,0.136,0.18,0.194,0.172,0.05,0.073,0.037,0.079,0.073,0.065,0.058,0.054,0.034,0.061,0.086,0.078
449,0.764,0.124,0.043,0.136,0.18,0.194,0.172,0.05,0.073,0.037,0.079,0.073,0.065,0.058,0.054,0.035,0.061,0.086,0.079
450,0.762,0.124,0.043,0.136,0.18,0.194,0.173,0.05,0.073,0.037,0.079,0.073,0.065,0.059,0.054,0.035,0.062,0.086,0.079
451,0.759,0.124,0.043,0.136,0.181,0.195,0.173,0.05,0.073,0.037,0.079,0.073,0.065,0.059,0.054,0.035,0.062,0.087,0.079
452,0.756,0.124,0.043,0.136,0.181,0.195,0.173,0.05,0.073,0.037,0.079,0.073,0.065,0.059,0.055,0.035,0.062,0.087,0.08
453,0.754,0.124,0.043,0.136,0.182,0.195,0.174,0.05,0.073,0.037,0.079,0.073,0.065,0.059,0.055,0.035,0.062,0.087,0.08
454,0.751,0.123,0.042,0.136,0.182,0.196,0.174,0.05,0.073,0.037,0.079,0.073,0.065,0.059,0.055,0.035,0.062,0.088,0.08
455,0.749,0.124,0.042,0.136,0.182,0.196,0.174,0.05,0.073,0.037,0.079,0.073,0.065,0.059,0.055,0.035,0.063,0.088,0.081
456,0.747,0.124,0.042,0.136,0.183,0.197,0.175,0.05,0.073,0.037,0.078,0.073,0.065,0.06,0.055,0.035,0.063,0.088,0.081
457,0.745,0.124,0.042,0.136,0.183,0.197,0.175,0.05,0.073,0.037,0.079,0.073,0.065,0.06,0.055,0.035,0.063,0.089,0.081
458,0.743,0.124,0.043,0.136,0.183,0.197,0.175,0.05,0.073,0.037,0.079,0.073,0.065,0.06,0.056,0.035,0.064,0.089,0.082
459,0.741,0.125,0.043,0.137,0.183,0.198,0.176,0.05,0.073,0.037,0.079,0.073,0.065,0.06,0.056,0.036,0.064,0.09,0.082
460,0.74,0.125,0.043,0.138,0.184,0.198,0.176,0.05,0.073,0.037,0.079,0.073,0.065,0.06,0.056,0.036,0.064,0.09,0.083
461,0.738,0.126,0.043,0.138,0.184,0.199,0.176,0.05,0.073,0.037,0.079,0.073,0.065,0.061,0.056,0.036,0.064,0.09,0.083
462,0.737,0.127,0.043,0.139,0.184,0.199,0.176,0.049,0.073,0.037,0.079,0.073,0.066,0.061,0.056,0.036,0.065,0.09,0.083
463,0.736,0.127,0.043,0.139,0.185,0.199,0.177,0.05,0.073,0.037,0.079,0.073,0.065,0.061,0.056,0.036,0.065,0.091,0.084
464,0.734,0.127,0.043,0.139,0.185,0.2,0.177,0.05,0.072,0.037,0.078,0.073,0.065,0.061,0.056,0.036,0.065,0.091,0.084
465,0.733,0.127,0.043,0.139,0.185,0.2,0.177,0.05,0.073,0.037,0.078,0.073,0.065,0.061,0.056,0.036,0.065,0.092,0.084
466,0.732,0.127,0.043,0.14,0.186,0.2,0.178,0.05,0.073,0.037,0.078,0.073,0.065,0.062,0.056,0.036,0.066,0.092,0.085
467,0.731,0.127,0.043,0.14,0.186,0.201,0.178,0.05,0.073,0.037,0.078,0.073,0.066,0.062,0.057,0.036,0.066,0.092,0.085
468,0.729,0.127,0.043,0.14,0.186,0.201,0.178,0.05,0.072,0.037,0.078,0.073,0.065,0.062,0.057,0.036,0.066,0.092,0.086
469,0.728,0.128,0.043,0.14,0.186,0.201,0.178,0.05,0.072,0.037,0.078,0.073,0.065,0.062,0.057,0.036,0.066,0.093,0.086
470,0.727,0.127,0.043,0.14,0.187,0.201,0.179,0.05,0.072,0.037,0.078,0.073,0.065,0.062,0.057,0.036,0.067,0.093,0.086
471,0.725,0.128,0.043,0.14,0.187,0.202,0.179,0.05,0.072,0.037,0.078,0.073,0.065,0.063,0.057,0.036,0.067,0.094,0.087
472,0.724,0.128,0.043,0.14,0.187,0.202,0.179,0.05,0.073,0.037,0.078,0.073,0.065,0.063,0.057,0.036,0.067,0.094,0.087
473,0.723,0.128,0.043,0.141,0.188,0.202,0.18,0.05,0.073,0.037,0.078,0.073,0.066,0.063,0.057,0.037,0.067,0.094,0.088
474,0.721,0.128,0.043,0.141,0.188,0.203,0.18,0.05,0.073,0.037,0.078,0.073,0.066,0.064,0.057,0.037,0.068,0.095,0.088
475,0.72,0.129,0.043,0.141,0.188,0.203,0.18,0.05,0.072,0.037,0.078,0.073,0.066,0.064,0.057,0.037,0.068,0.095,0.088
476,0.718,0.129,0.043,0.142,0.188,0.203,0.181,0.05,0.072,0.037,0.078,0.073,0.066,0.064,0.058,0.037,0.069,0.095,0.089
477,0.717,0.13,0.043,0.142,0.189,0.204,0.181,0.05,0.073,0.037,0.078,0.073,0.066,0.064,0.058,0.037,0.069,0.096,0.089
478,0.715,0.13,0.044,0.143,0.189,0.204,0.181,0.05,0.073,0.037,0.078,0.073,0.066,0.065,0.058,0.037,0.069,0.096,0.089
479,0.714,0.131,0.044,0.144,0.189,0.204,0.181,0.05,0.073,0.037,0.078,0.073,0.066,0.065,0.058,0.037,0.069,0.097,0.09
480,0.712,0.132,0.044,0.144,0.189,0.205,0.181,0.05,0.072,0.037,0.078,0.073,0.066,0.065,0.058,0.037,0.07,0.097,0.09
481,0.711,0.132,0.044,0.145,0.19,0.205,0.182,0.05,0.073,0.037,0.078,0.073,0.066,0.066,0.058,0.037,0.07,0.097,0.091
482,0.709,0.133,0.044,0.146,0.19,0.205,0.182,0.05,0.073,0.037,0.078,0.073,0.066,0.066,0.058,0.038,0.07,0.098,0.091
483,0.708,0.134,0.045,0.147,0.19,0.206,0.182,0.05,0.073,0.037,0.078,0.073,0.066,0.066,0.059,0.038,0.07,0.098,0.091
484,0.706,0.135,0.045,0.148,0.191,0.206,0.183,0.05,0.073,0.037,0.078,0.073,0.066,0.066,0.059,0.038,0.071,0.098,0.092
485,0.705,0.136,0.045,0.149,0.191,0.206,0.183,0.05,0.073,0.037,0.078,0.073,0.066,0.067,0.059,0.038,0.071,0.099,0.092
486,0.703,0.137,0.046,0.15,0.191,0.207,0.183,0.05,0.073,0.037,0.078,0.073,0.067,0.067,0.059,0.038,0.071,0.099,0.092
487,0.702,0.138,0.046,0.151,0.191,0.207,0.183,0.051,0.073,0.037,0.078,0.074,0.067,0.067,0.059,0.038,0.071,0.099,0.093
488,0.701,0.139,0.046,0.152,0.192,0.207,0.184,0.05,0.073,0.037,0.078,0.073,0.067,0.067,0.059,0.038,0.072,0.099,0.093
489,0.7,0.14,0.046,0.153,0.192,0.207,0.184,0.051,0.073,0.037,0.078,0.073,0.067,0.067,0.059,0.038,0.072,0.1,0.093
490,0.698,0.141,0.047,0.154,0.192,0.208,0.184,0.051,0.073,0.037,0.078,0.074,0.067,0.068,0.059,0.038,0.072,0.1,0.094
491,0.697,0.142,0.047,0.155,0.192,0.208,0.185,0.051,0.074,0.037,0.078,0.074,0.067,0.068,0.06,0.038,0.073,0.101,0.094
492,0.695,0.143,0.047,0.156,0.193,0.208,0.185,0.051,0.074,0.037,0.078,0.074,0.067,0.068,0.06,0.038,0.073,0.101,0.095
493,0.694,0.144,0.048,0.157,0.193,0.209,0.185,0.051,0.074,0.038,0.078,0.074,0.067,0.068,0.06,0.038,0.073,0.101,0.095
494,0.693,0.145,0.048,0.158,0.193,0.209,0.185,0.051,0.074,0.038,0.078,0.074,0.067,0.068,0.06,0.039,0.073,0.101,0.095
495,0.691,0.146,0.048,0.159,0.193,0.209,0.186,0.051,0.074,0.038,0.078,0.074,0.067,0.068,0.06,0.039,0.073,0.102,0.095
496,0.69,0.148,0.049,0.16,0.194,0.209,0.186,0.051,0.074,0.038,0.078,0.074,0.067,0.068,0.06,0.039,0.074,0.102,0.096
497,0.689,0.149,0.049,0.161,0.194,0.21,0.186,0.051,0.074,0.038,0.078,0.074,0.067,0.069,0.06,0.039,0.074,0.102,0.096
498,0.688,0.15,0.049,0.162,0.194,0.21,0.186,0.052,0.074,0.038,0.078,0.074,0.067,0.069,0.061,0.039,0.074,0.103,0.096
499,0.686,0.151,0.05,0.163,0.195,0.211,0.187,0.052,0.074,0.038,0.078,0.074,0.068,0.069,0.061,0.039,0.074,0.103,0.097
500,0.685,0.151,0.05,0.164,0.195,0.211,0.187,0.052,0.075,0.038,0.078,0.074,0.068,0.07,0.061,0.039,0.075,0.103,0.097
501,0.684,0.152,0.05,0.165,0.195,0.211,0.187,0.052,0.075,0.038,0.077,0.074,0.068,0.07,0.061,0.039,0.075,0.103,0.097
502,0.682,0.153,0.051,0.166,0.195,0.211,0.187,0.052,0.075,0.038,0.078,0.074,0.068,0.07,0.061,0.039,0.075,0.104,0.098
503,0.681,0.154,0.051,0.167,0.195,0.212,0.188,0.052,0.075,0.038,0.077,0.074,0.068,0.07,0.061,0.039,0.075,0.104,0.098
504,0.68,0.155,0.051,0.168,0.196,0.212,0.188,0.052,0.075,0.038,0.077,0.074,0.068,0.071,0.061,0.039,0.075,0.104,0.098
505,0.679,0.156,0.052,0.168,0.196,0.212,0.188,0.052,0.075,0.038,0.077,0.074,0.068,0.071,0.061,0.039,0.076,0.104,0.098
506,0.677,0.157,0.052,0.169,0.196,0.212,0.188,0.053,0.076,0.039,0.077,0.074,0.068,0.071,0.061,0.039,0.076,0.105,0.099
507,0.676,0.158,0.052,0.17,0.196,0.213,0.188,0.053,0.076,0.039,0.077,0.074,0.068,0.071,0.061,0.039,0.076,0.105,0.099
508,0.675,0.158,0.053,0.171,0.197,0.213,0.189,0.053,0.076,0.039,0.077,0.074,0.068,0.071,0.062,0.04,0.076,0.105,0.099
509,0.673,0.159,0.053,0.172,0.197,0.213,0.189,0.053,0.076,0.039,0.077,0.074,0.068,0.071,0.062,0.04,0.076,0.105,0.099
510,0.672,0.16,0.053,0.172,0.197,0.213,0.189,0.053,0.076,0.039,0.077,0.074,0.069,0.071,0.062,0.04,0.077,0.106,0.099
511,0.671,0.161,0.054,0.173,0.197,0.214,0.189,0.054,0.077,0.039,0.077,0.074,0.069,0.072,0.062,0.04,0.077,0.106,0.1
512,0.669,0.162,0.054,0.174,0.198,0.214,0.19,0.054,0.077,0.039,0.077,0.074,0.069,0.072,0.062,0.04,0.077,0.106,0.1
513,0.668,0.163,0.054,0.175,0.198,0.214,0.19,0.054,0.077,0.039,0.077,0.074,0.069,0.072,0.062,0.04,0.077,0.106,0.1
514,0.667,0.163,0.055,0.176,0.198,0.215,0.19,0.054,0.077,0.039,0.077,0.074,0.069,0.072,0.062,0.04,0.077,0.106,0.1
515,0.665,0.164,0.055,0.177,0.198,0.215,0.19,0.054,0.077,0.04,0.077,0.074,0.069,0.072,0.062,0.04,0.077,0.107,0.101
516,0.664,0.165,0.055,0.177,0.199,0.215,0.19,0.055,0.078,0.04,0.077,0.074,0.069,0.072,0.062,0.04,0.077,0.107,0.101
517,0.663,0.166,0.056,0.178,0.199,0.215,0.191,0.055,0.078,0.04,0.077,0.074,0.07,0.073,0.062,0.04,0.078,0.107,0.101
518,0.661,0.166,0.056,0.179,0.199,0.216,0.191,0.055,0.078,0.04,0.077,0.074,0.07,0.073,0.062,0.04,0.078,0.107,0.101
519,0.66,0.167,0.056,0.179,0.199,0.216,0.191,0.055,0.078,0.04,0.077,0.075,0.07,0.073,0.062,0.04,0.078,0.107,0.101
520,0.659,0.168,0.057,0.18,0.199,0.216,0.191,0.056,0.079,0.041,0.077,0.075,0.07,0.073,0.063,0.04,0.078,0.108,0.101
521,0.657,0.168,0.057,0.181,0.199,0.216,0.192,0.056,0.079,0.041,0.077,0.075,0.07,0.073,0.063,0.04,0.078,0.108,0.102
522,0.656,0.169,0.057,0.181,0.2,0.217,0.192,0.056,0.079,0.041,0.077,0.075,0.07,0.073,0.063,0.04,0.078,0.108,0.102
523,0.655,0.17,0.058,0.182,0.2,0.217,0.192,0.056,0.08,0.041,0.077,0.075,0.071,0.073,0.063,0.04,0.079,0.108,0.102
524,0.653,0.17,0.058,0.183,0.2,0.217,0.192,0.056,0.08,0.041,0.077,0.075,0.071,0.073,0.063,0.04,0.079,0.108,0.102
525,0.652,0.171,0.058,0.183,0.2,0.217,0.192,0.057,0.08,0.041,0.077,0.075,0.071,0.073,0.063,0.04,0.079,0.108,0.102
